indicador;infra;mes;origem;cp;regional;uf;municipio;psr;num_documento;dat_abertura;dat_fechamento;prazo_horas;status;cep;logradouro;nu_fachada;tipo_ordem;tecnico;gpon;cdo;celula;estacao;cod_encerramento;gra;cd_subscriber_hc;in_flag_indicador
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;FLORIANOPOLIS;ABILITY;NEU_01KGQT1XVGPDX379NXBEM8WZFD;2026-02-05 18:07:05 UTC;2026-02-11 10:51:15 UTC;136;COMPLETED;88034102;RODOVIA AMARO ANTONIO VIEIRA;2371;FIBRA_INSTALACAO_ORDEM;TR818959;A0002CRWC;CDOI-6204PS.3;62;TRDE;00;TRD;010308785;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGQFQVE3KPN0KC8QGPX3FMV8;2026-02-05 15:06:49 UTC;2026-02-06 16:00:53 UTC;24;COMPLETED;88302425;SERVIDAO IVO ATANASIO VEIGA;165;FIBRA_INSTALACAO_ORDEM;TR699705;A0002CQI3;CDOE-17718M;177;IAI;00;IAI;010308306;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KH41VDCQM1BHCTNSM7C6179D;2026-02-10 12:14:10 UTC;2026-02-11 18:44:28 UTC;30;COMPLETED;88303401;RUA JOSE PEREIRA LIBERATO;3170;FIBRA_INSTALACAO_ORDEM;TR680326;A0002D951;CDOE-4012;40;IAI;00;IAI;010314004;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGSVA04G6F4W8BK1DQS1DC0T;2026-02-06 13:07:26 UTC;2026-02-07 16:15:08 UTC;27;COMPLETED;88304150;RUA TEODORO LUIZ PEREIRA;284;FIBRA_INSTALACAO_ORDEM;TR699705;A0002CUT3;CDOE-22712;227;IAI;00;IAI;010309744;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KH78DAX4PEC10E4AX2R2FJFC;2026-02-11 18:06:26 UTC;2026-02-13 12:21:49 UTC;42;COMPLETED;88304200;RUA HILDEBRANDO JOSE SILVA;318;FIBRA_INSTALACAO_ORDEM;TR818218;A0002DH6G;CDOE-6015;60;IAI;00;IAI;010316570;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KH4SEGWF65K84209VB5PN2MX;2026-02-10 19:06:27 UTC;2026-02-12 08:53:48 UTC;37;COMPLETED;88308165;RUA DAS CAMELIAS;95;FIBRA_INSTALACAO_ORDEM;TR680326;A0002DC9Z;CDOE-11430;114;IAI;00;IAI;010314967;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGN7MB1G396XA2Y7PP6TPGCS;2026-02-04 18:06:37 UTC;2026-02-06 09:12:34 UTC;39;COMPLETED;88308460;RUA FABIANO E SILVA MARQUES;140;FIBRA_INSTALACAO_ORDEM;TR699705;A0002CM8F;CDOE-11905;119;IAI;00;IAI;010307272;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGNB4TC58T823A1WR9SWACWK;2026-02-04 19:08:02 UTC;2026-02-07 10:37:49 UTC;63;COMPLETED;88308490;RUA ROBERTO MANOEL TOMAS;184;FIBRA_INSTALACAO_ORDEM;TR699705;A0002CMQO;CDOE-11215;112;IAI;00;IAI;010307393;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGFHQ0HXT0FT6QRV9RZ3BY78;2026-02-02 13:07:24 UTC;2026-02-03 17:40:13 UTC;28;COMPLETED;88308540;RUA MILTON JAQUES;135;FIBRA_INSTALACAO_ORDEM;TR699705;A0002C9AS;CDOE-12422;124;IAI;00;IAI;010303640;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGN7MGJFWTGXMWE67MXC4081;2026-02-04 18:06:37 UTC;2026-02-06 11:32:16 UTC;41;COMPLETED;88308663;RUA AGILIO CUNHA;1313;FIBRA_INSTALACAO_ORDEM;TR699705;A0002CM8G;CDOE-12421;124;IAI;00;IAI;010307332;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGACW5W6AGS5ST6WQ2AZ05CZ;2026-01-31 13:06:38 UTC;2026-02-02 10:02:49 UTC;44;COMPLETED;88309062;RUA NAVEGANTES;80;FIBRA_INSTALACAO_ORDEM;TR699705;A0002C3GE;CDOE-26807;268;IAI;00;IAI;010302653;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGN7MADPYF8EQDTN15RRSDDM;2026-02-04 18:06:39 UTC;2026-02-07 08:58:23 UTC;62;COMPLETED;88311021;RUA HERCILIA MOSER;300;FIBRA_INSTALACAO_ORDEM;TR680326;A0002CM8I;CDOI-812;8;CDIS;00;IAI;010307366;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KH677BZEQCCENVEGP8VEZ8V2;2026-02-11 08:26:35 UTC;2026-02-13 14:12:41 UTC;53;COMPLETED;88311123;RUA JOSE FELISMINO DE OLIVEIRA;887;FIBRA_INSTALACAO_ORDEM;TR705853;A0002DD4I;CDOE-617;6;CDIS;00;IAI;010314835;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KH1WTX5ASEEZB136D1MT9Y23;2026-02-09 16:08:01 UTC;2026-02-11 09:27:49 UTC;41;COMPLETED;88311259;RUA VER HORACIO RAMOS GONZAGA;1175;FIBRA_INSTALACAO_ORDEM;TR804338;A0002D5AT;CDOE-3205;32;CDIS;00;IAI;010312916;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGT920WM3CKXBMMTFM0P56J4;2026-02-06 17:07:39 UTC;2026-02-09 14:57:42 UTC;69;COMPLETED;88311285;RUA LIDIA PUEL PEIXER;113;FIBRA_INSTALACAO_ORDEM;TR804338;A0002CWJL;CDOE-1404;14;CDIS;00;IAI;010310302;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KH9QENW9NX7GMJKH22HFT33J;2026-02-12 17:07:56 UTC;2026-02-13 09:54:34 UTC;16;COMPLETED;88311335;RUA ORLANDINA AMALIA PIRES;160;FIBRA_INSTALACAO_ORDEM;TR705853;A0002DLZ4;CDOE-1107;11;CDIS;00;IAI;010318256;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;ITAJAI;ABILITY;NEU_01KGFRHA3M0G6YTERF4B1AGGTP;2026-02-02 15:06:28 UTC;2026-02-03 13:53:22 UTC;22;COMPLETED;88311705;RUA ARNALDO EMILIO DALCOQUIO;590;FIBRA_INSTALACAO_ORDEM;TR804338;A0002CA6X;CDOE-3920;39;CDIS;00;IAI;010303929;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;BRUSQUE;ABILITY;NEU_01KH23MAVC4PXZK94PSZTX3G5T;2026-02-09 18:06:48 UTC;2026-02-11 14:28:01 UTC;44;COMPLETED;88354280;RUA BRUNO MALUCHE;750;FIBRA_INSTALACAO_ORDEM;TR699710;A0002D6BF;CDOE-4718M;47;BQE;00;BQE;010313160;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;NAVEGANTES;ABILITY;NEU_01KGA60JNH875J4SMJS7Z3G200;2026-01-31 11:06:41 UTC;2026-02-02 18:06:30 UTC;54;COMPLETED;88372012;RUA OSMUNDO DUTRA;523;FIBRA_INSTALACAO_ORDEM;TR597559;A0002C37U;CDOE-3303;33;NVG;00;NVG;010302413;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;BLUMENAU;ABILITY;NEU_01KH1NWNHKAV63511HS9VKNGTP;2026-02-09 14:06:42 UTC;2026-02-11 11:17:56 UTC;45;COMPLETED;89040002;RUA DOS CACADORES;1581;FIBRA_INSTALACAO_ORDEM;TR738178;A0002D482;CDOI-9220M;92;BNU;00;BNU;010312532;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;GUARULHOS;ABILITY;08448856;2026-02-13 13:49:09 UTC;2026-02-13 17:40:50 UTC;3;COMPLETED;07053070;RUA PASSOS;339;FIBRA_INSTALACAO_ORDEM;TR746756;A0002DPK6;"";"";BGR;00;;800U600000RCYJYIAM;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08345689;2026-02-05 12:08:32 UTC;2026-02-06 12:54:54 UTC;24;COMPLETED;12209500;TRAVESSA ANTONIO DOMENICO FERRO;70;FIBRA_INSTALACAO_ORDEM;TR816271;A0002CP5H;CDOE-610;6;SJC1;00;SPO;800U600000QDSV2IAG;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08277318;2026-01-30 11:41:59 UTC;2026-02-02 11:07:29 UTC;71;COMPLETED;12210040;RUA ANTONIO SAES;249;FIBRA_INSTALACAO_ORDEM;TR816271;A0002BZUA;CDOE-303;3;SJC1;00;SPO;800U600000PAZD4IAK;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08317655;2026-02-03 11:45:15 UTC;2026-02-04 17:38:34 UTC;29;COMPLETED;12215000;AVENIDA BRASIL;155;FIBRA_INSTALACAO_ORDEM;TR808996;A0002CE2R;CDOE-1727;17;SJC1;00;SPO;800U600000PL10EIAQ;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08396571;2026-02-09 14:21:45 UTC;2026-02-10 13:16:58 UTC;22;COMPLETED;12215030;RUA CAPITAO RAUL FAGUNDES;457;FIBRA_INSTALACAO_ORDEM;TR816271;A0002D4CM;CDOE-1709;17;SJC1;00;SPO;800U600000QKVKUIAM;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08414252;2026-02-10 16:35:38 UTC;2026-02-12 12:08:34 UTC;43;COMPLETED;12215080;RUA MACHADO DE ASSIS;28;FIBRA_INSTALACAO_ORDEM;TR785392;A0002DB4M;CDOE-9208;92;SJC1;00;SPO;800U600000R0TEIIAY;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08359096;2026-02-06 09:47:14 UTC;2026-02-10 17:28:47 UTC;103;COMPLETED;12220281;RUA DOUTOR JAMIL CURY;20;FIBRA_INSTALACAO_ORDEM;TR816271;A0002CTEQ;CDOI-9510PS.02;95;SJC1;00;SPO;800U600000QNAPCIA4;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08292138;2026-01-31 18:31:36 UTC;2026-02-02 12:57:54 UTC;42;COMPLETED;12220670;RUA ARAGUARI;80;FIBRA_INSTALACAO_ORDEM;TR808996;A0002C43G;CDOE-3603;36;JSI;00;;800U600000PLWLFIAK;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08367283;2026-02-06 17:27:54 UTC;2026-02-11 15:14:19 UTC;117;COMPLETED;12225370;AVENIDA JOAQUIM BERNARDES NETO;80;FIBRA_INSTALACAO_ORDEM;TR816271;A0002CWON;CDOE-2507;25;JSI;00;;800U600000QQDCQIAC;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08321758;2026-02-03 14:55:06 UTC;2026-02-04 12:29:02 UTC;21;COMPLETED;12225720;RUA DOS PINTORES;162;FIBRA_INSTALACAO_ORDEM;TR808996;A0002CFH6;CDOE-4021;40;JSI;00;;800U600000PM0TAIAA;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08297276;2026-02-01 21:16:47 UTC;2026-02-04 08:52:57 UTC;59;COMPLETED;12226204;RUA ILDEU BONTORIM DE SOUZA;27;FIBRA_INSTALACAO_ORDEM;TR808996;A0002C6VU;CDOE-6603;66;JSI;00;;800U600000PT3JIIAK;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08297033;2026-02-01 20:29:39 UTC;2026-02-02 16:35:20 UTC;20;COMPLETED;12226886;AVENIDA MARIANA ANDRADE;1021;FIBRA_INSTALACAO_ORDEM;TR808996;A0002C6NK;CDOE-14202;142;JSI;00;;800U600000PSJL2IAC;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08294078;2026-02-01 15:41:48 UTC;2026-02-02 08:59:39 UTC;17;COMPLETED;12227370;RUA CAPRICORNIO;256;FIBRA_INSTALACAO_ORDEM;TR816271;A0002C4JI;CDOE-4702;47;SJC1;00;SPO;800U600000PQG2HIAW;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08279875;2026-01-30 14:25:06 UTC;2026-02-06 13:41:17 UTC;167;COMPLETED;12227550;RUA PONCAS;265;FIBRA_INSTALACAO_ORDEM;TR785392;A0002C0YY;CDOI-10915.3;109;SJC1;00;SPO;800U600000PDGHLIAO;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08414958;2026-02-10 17:30:14 UTC;2026-02-11 14:29:36 UTC;20;COMPLETED;12230460;RUA CANOPUS;217;FIBRA_INSTALACAO_ORDEM;TR795793;A0002DBKL;CDOE-7004;70;SPCB;00;;800U600000R1XHRIAE;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08376001;2026-02-07 12:38:48 UTC;2026-02-08 12:19:39 UTC;23;COMPLETED;12230570;RUA SCORPIUS;1182;FIBRA_INSTALACAO_ORDEM;TR810103;A0002CZ0K;CDOE-18817;188;SPCB;00;;800U600000QASX8IAI;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08382202;2026-02-08 08:20:02 UTC;2026-02-09 11:56:19 UTC;27;COMPLETED;12232427;RUA JOSE BENEDITO CASTILHOS;243;FIBRA_INSTALACAO_ORDEM;TR781111;A0002D0CI;CDOE-14415;144;SPCB;00;;800U600000QED3PIAE;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08416894;2026-02-10 19:53:24 UTC;2026-02-12 18:03:06 UTC;46;COMPLETED;12234130;RUA JOSE AULISIO;310;FIBRA_INSTALACAO_ORDEM;TR785392;A0002DCHO;CDOE-3109;31;SPCB;00;;800U600000R3YTXIAA;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08398194;2026-02-09 15:36:09 UTC;2026-02-10 12:30:16 UTC;20;COMPLETED;12234690;RUA JOSE MARIA DE OLIVEIRA;20;FIBRA_INSTALACAO_ORDEM;TR800967;A0002D512;CDOE-412;4;SPCB;00;;800U600000QLTSVIAI;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08298537;2026-02-02 08:18:54 UTC;2026-02-03 10:14:26 UTC;25;COMPLETED;12234825;AVENIDA EUGENIA DA SILVA;144;FIBRA_INSTALACAO_ORDEM;TR816271;A0002C78R;CDOE-3909;39;SPCB;00;;800U600000PVDDMIA4;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08286719;2026-02-01 19:29:08 UTC;2026-02-03 09:09:59 UTC;37;COMPLETED;12234844;AVENIDA ODILA DOS SANTOS PEREIRA;268;FIBRA_INSTALACAO_ORDEM;TR816271;A0002C68R;CDOE-3807;38;SPCB;00;;800U600000PLV7ZIAS;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08442353;2026-02-12 20:37:20 UTC;2026-02-13 20:14:15 UTC;23;COMPLETED;12235681;RUA BACABAL;2120;FIBRA_INSTALACAO_ORDEM;TR795793;A0002DN57;CDOE-19612;196;SPCB;00;;800U600000RW3CPIA0;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08395994;2026-02-09 13:58:37 UTC;2026-02-10 15:40:32 UTC;25;COMPLETED;12235750;RUA PIMENTEIRAS;669;FIBRA_INSTALACAO_ORDEM;TR810103;A0002D45B;CDOE-8511;85;SPCB;00;;800U600000QKYK0IAE;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08399442;2026-02-09 16:45:20 UTC;2026-02-10 15:09:13 UTC;22;COMPLETED;12236500;RUA GISELE MARTINS;918;FIBRA_INSTALACAO_ORDEM;TR800967;A0002D5MQ;CDOE-8928;89;SPCB;00;;800U600000QLOVDIAY;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08328121;2026-02-03 22:32:29 UTC;2026-02-04 11:55:35 UTC;13;COMPLETED;12236710;RUA JOSE HAMILTON DA SILVA;547;FIBRA_INSTALACAO_ORDEM;TR810103;A0002CI77;CDOE-9826;98;SPCB;00;;800U600000PU2MVIAI;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08297236;2026-02-01 21:10:08 UTC;2026-02-03 10:18:14 UTC;37;COMPLETED;12236865;RUA PASTOR MIGUEL CORNELIO DE MORAIS;150;FIBRA_INSTALACAO_ORDEM;TR800967;A0002C6VD;CDOI-17435.6;174;SPCB;00;;800U600000PT6FLIAC;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08349789;2026-02-05 15:29:07 UTC;2026-02-06 13:59:47 UTC;22;COMPLETED;12236886;RUA BERTHO CORTEZ;127;FIBRA_INSTALACAO_ORDEM;TR810103;A0002CQNZ;CDOE-9210;92;SPCB;00;;800U600000QEPGNIA0;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08406206;2026-02-10 08:40:03 UTC;2026-02-13 09:08:26 UTC;72;COMPLETED;12239008;RUA BENEDITA NUNES DE CAMPOS;200;FIBRA_INSTALACAO_ORDEM;TR810103;A0002D7NH;CDOE-4309;43;SPCB;00;;800U600000QW3UNIAY;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08345644;2026-02-05 12:04:32 UTC;2026-02-06 10:07:30 UTC;22;COMPLETED;12239160;RUA ANDREA FABIANO DE CARVALHO;161;FIBRA_INSTALACAO_ORDEM;TR810103;A0002CP4G;CDOE-15317;153;SPCB;00;;800U600000QCMAXIAC;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08359913;2026-02-06 10:36:38 UTC;2026-02-11 10:55:52 UTC;120;COMPLETED;12239490;RUA JOAO ALVES FERRO;194;FIBRA_INSTALACAO_ORDEM;TR810103;A0002CTPA;CDOE-4911;49;SPCB;00;;800U600000QNT6RIAG;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;SAO JOSE DOS CAMPOS;ABILITY;08427075;2026-02-11 18:42:51 UTC;2026-02-12 14:33:15 UTC;19;COMPLETED;12248631;RUA SEBASTIAO MARTINS RAMOS;378;FIBRA_INSTALACAO_ORDEM;TR816271;A0002DHF1;CDOE-2314;23;JSI;00;;800U600000RGTD9IAC;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;CAMPINAS;ABILITY;08233324;2026-01-26 22:48:32 UTC;2026-02-04 19:38:25 UTC;212;COMPLETED;13033250;RUA REVERENDO MIGUEL RIZZO JUNIOR;211;FIBRA_INSTALACAO_ORDEM;TR779499;A0002BITU;CDOE-609;6;CAS1;00;SPO;800U600000OOLZAIAG;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;CAMPINAS;ABILITY;08359795;2026-02-06 10:31:46 UTC;2026-02-06 16:08:21 UTC;5;COMPLETED;13049006;RUA SILVIO ANTONIO ZUFFO GRIECO;357;FIBRA_INSTALACAO_ORDEM;TR779499;A0002CTO5;CDOE-10717;107;PPF;00;SPO;800U600000QNJAWIAO;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;CAMPINAS;ABILITY;08372135;2026-02-07 01:01:26 UTC;2026-02-08 08:59:58 UTC;31;COMPLETED;13049012;RUA BORTOLO VICENTINI;102;FIBRA_INSTALACAO_ORDEM;TR598739;A0002CXXB;CDOE-10801;108;PPF;00;SPO;800U600000QWTLTIAO;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;NIO;SUDESTE;SP;CAMPINAS;ABILITY;08406594;2026-02-10 09:12:12 UTC;2026-02-10 17:20:42 UTC;8;COMPLETED;13060465;RUA ALCEU DA SILVA;116;FIBRA_INSTALACAO_ORDEM;TR800192;A0002D7RI;CDOE-12805;128;CAS1;00;SPO;800U600000QW6TSIAI;SIM
